name,date,hour,atmosphericpressure,precipitation,relativehumidity,temperature,winddirection,windspeedavg,windspeedmax,windspeedmin,surfacetemperaturewintersense,temperaturewintersense,z_score
Marktstätte,2024-05-20,5,964.75,46.28,86.7,11.85,228.5,0.7,1.15,0.2,13.19,11.2,1.5456164899429925
Marktstätte,2024-05-20,6,964.9,46.28,88.0,11.8,249.5,0.5,0.95,0.05,13.27,11.21,1.1328430311977615
Marktstätte,2024-05-20,7,964.9,46.28,83.0,12.8,146.5,0.4,1.25,0.05,13.51,12.4,-0.2878504940681573
Marktstätte,2024-05-20,8,964.9,46.28,79.29,13.9,69.0,0.7,1.9,0.1,18.37,18.11,-0.0731991602427584
Marktstätte,2024-05-20,9,964.85,46.28,69.74,15.3,65.0,0.85,1.95,0.15,24.81,20.69,0.46097326194969934
Marktstätte,2024-05-20,10,964.55,46.28,73.4,15.4,39.5,1.05,2.25,0.1,28.25,20.66,-0.11765322723663392
Marktstätte,2024-05-20,11,964.3,46.28,68.6,16.9,67.0,1.1,2.2,0.2,31.57,23.41,-0.2717355975688718
Marktstätte,2024-05-20,12,964.25,46.28,54.35,19.4,48.5,0.85,1.5,0.15,37.26,26.27,0.14370211067813435
Marktstätte,2024-05-20,13,963.2,46.28,47.3,22.05,65.5,0.55,1.55,0.1,41.03,29.06,0.3547464359248025
Marktstätte,2024-05-20,14,962.7,46.28,45.9,23.1,60.0,1.05,2.05,0.1,41.25,28.6,0.5513206675495996
Marktstätte,2024-05-20,15,961.9,46.28,39.5,24.1,63.0,0.8,1.85,0.1,38.9,28.34,0.6076543744205035
Marktstätte,2024-05-20,16,961.05,46.28,35.5,24.75,26.5,0.65,1.5,0.1,36.74,27.35,0.9595070573723796
Marktstätte,2024-05-20,17,960.7,46.28,34.8,24.75,56.5,0.7,1.65,0.05,34.02,26.96,0.7298572701420969
Marktstätte,2024-05-20,18,960.4,46.28,39.55,23.8,106.0,0.55,1.4,0.1,30.76,25.0,0.29247818025950795
Marktstätte,2024-05-20,19,960.3,46.28,44.2,23.3,115.0,0.7,1.7,0.1,27.77,23.47,0.4449752646933013
Marktstätte,2024-05-20,20,960.3,46.28,46.15,22.55,96.0,0.65,1.5,0.1,25.88,22.42,0.7181918594013709
Marktstätte,2024-05-20,21,960.2,46.28,47.7,21.6,87.5,0.65,1.65,0.1,23.85,21.23,0.7643277380755635
Marktstätte,2024-05-20,22,960.3,46.28,47.0,21.0,37.0,0.7,2.1,0.1,22.63,20.73,0.7814236239386015
