Jahr,Extremniederschlagstage_Anzahl,Frosttage_Anzahl,Heisse_Tage_Anzahl,Hitzewellentage_Anzahl,Tropennaechte_Anzahl,Modell,Statistik
1983,8.466666666666667,68.53333333333333,1.3333333333333333,0.0,3.566666666666667,Szenario RCP 8.5,Durchschnitt
1984,8.666666666666666,68.2,1.4333333333333333,0.0,3.933333333333333,Szenario RCP 8.5,Durchschnitt
1985,8.6,68.23333333333333,1.4666666666666666,0.1,4.233333333333333,Szenario RCP 8.5,Durchschnitt
1986,8.266666666666667,67.76666666666667,1.9666666666666666,0.23333333333333334,4.7,Szenario RCP 8.5,Durchschnitt
1987,8.3,67.0,1.8333333333333333,0.23333333333333334,4.5,Szenario RCP 8.5,Durchschnitt
1988,8.166666666666666,66.33333333333333,1.9,0.23333333333333334,4.733333333333333,Szenario RCP 8.5,Durchschnitt
1989,8.133333333333333,65.86666666666666,1.9333333333333333,0.23333333333333334,4.7,Szenario RCP 8.5,Durchschnitt
1990,8.266666666666667,66.26666666666667,2.033333333333333,0.23333333333333334,4.9,Szenario RCP 8.5,Durchschnitt
1991,8.433333333333334,66.83333333333333,2.1,0.23333333333333334,4.766666666666667,Szenario RCP 8.5,Durchschnitt
1992,8.633333333333333,66.06666666666666,2.1,0.23333333333333334,4.8,Szenario RCP 8.5,Durchschnitt
1993,8.6,66.73333333333333,2.1666666666666665,0.23333333333333334,4.8,Szenario RCP 8.5,Durchschnitt
1994,8.633333333333333,65.33333333333333,2.2333333333333334,0.23333333333333334,4.8,Szenario RCP 8.5,Durchschnitt
1995,8.533333333333333,65.3,2.6333333333333333,0.5666666666666667,5.033333333333333,Szenario RCP 8.5,Durchschnitt
1996,8.6,66.1,2.7333333333333334,0.5666666666666667,5.233333333333333,Szenario RCP 8.5,Durchschnitt
1997,8.333333333333334,66.73333333333333,2.7666666666666666,0.5666666666666667,5.266666666666667,Szenario RCP 8.5,Durchschnitt
1998,8.233333333333333,65.4,3.0,0.6666666666666666,5.566666666666666,Szenario RCP 8.5,Durchschnitt
1999,8.3,66.03333333333333,2.966666666666667,0.6666666666666666,5.633333333333334,Szenario RCP 8.5,Durchschnitt
2000,8.566666666666666,65.46666666666667,3.1666666666666665,0.7666666666666667,5.8,Szenario RCP 8.5,Durchschnitt
